Love The Way You Lie,Eminem,detroit hip hop
TiK ToK,Kesha,dance pop
Bad Romance,Lady Gaga,dance pop
Just the Way You Are,Bruno Mars,pop
Baby,Justin Bieber,canadian pop
Dynamite,Taio Cruz,dance pop
Secrets,OneRepublic,dance pop
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop
Only Girl (In The World),Rihanna,barbadian pop
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop
Marry You,Bruno Mars,pop
Cooler Than Me - Single Mix,Mike Posner,dance pop
Telephone,Lady Gaga,dance pop
Like A G6,Far East Movement,dance pop
OMG (feat. will.i.am),Usher,atl hip hop
Eenie Meenie,Sean Kingston,dance pop
The Time (Dirty Bit),The Black Eyed Peas,dance pop
Alejandro,Lady Gaga,dance pop
Your Love Is My Drug,Kesha,dance pop
Meet Me Halfway,The Black Eyed Peas,dance pop
Whataya Want from Me,Adam Lambert,australian pop
Take It Off,Kesha,dance pop
Misery,Maroon 5,pop
All The Right Moves,OneRepublic,dance pop
Animal,Neon Trees,indie pop
Naturally,Selena Gomez & The Scene,dance pop
I Like It,Enrique Iglesias,dance pop
Teenage Dream,Katy Perry,dance pop
California Gurls,Katy Perry,dance pop
3,Britney Spears,dance pop
My First Kiss - feat. Ke$ha,3OH!3,dance pop
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop
Imma Be,The Black Eyed Peas,dance pop
Try Sleeping with a Broken Heart,Alicia Keys,hip pop
Sexy Bitch (feat. Akon),David Guetta,dance pop
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop
If I Had You,Adam Lambert,australian pop
Rock That Body,The Black Eyed Peas,dance pop
Dog Days Are Over,Florence + The Machine,art pop
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop
Doesn't Mean Anything,Alicia Keys,hip pop
Hard,Rihanna,barbadian pop
Loca,Shakira,colombian pop
You Lost Me,Christina Aguilera,dance pop
Not Myself Tonight,Christina Aguilera,dance pop
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop
Break Your Heart,Taio Cruz,dance pop
Hello,Martin Solveig,big room
A Thousand Years,Christina Perri,dance pop
Someone Like You,Adele,british soul
Give Me Everything,Pitbull,dance pop
Rolling in the Deep,Adele,british soul
Run the World (Girls),Beyonce,dance pop
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop
Love On Top,Beyonce,dance pop
Grenade,Bruno Mars,pop
Tonight Tonight,Hot Chelle Rae,dance pop
What the Hell,Avril Lavigne,canadian pop
Born This Way,Lady Gaga,dance pop
Monster,Kanye West,chicago rap
Best Thing I Never Had,Beyonce,dance pop
Party Rock Anthem,LMFAO,dance pop
We R Who We R,Kesha,dance pop
Price Tag,Jessie J,australian pop
Good Life,OneRepublic,dance pop
On The Floor,Jennifer Lopez,dance pop
What's My Name?,Rihanna,barbadian pop
Yeah 3x,Chris Brown,dance pop
Without You (feat. Usher),David Guetta,dance pop
Sexy And I Know It,LMFAO,dance pop
The Edge Of Glory,Lady Gaga,dance pop
E.T.,Katy Perry,dance pop
Till the World Ends,Britney Spears,dance pop
I Wanna Go,Britney Spears,dance pop
Blow,Kesha,dance pop
You And I,Lady Gaga,dance pop
Judas,Lady Gaga,dance pop
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop
Please Don't Go,Mike Posner,dance pop
We Found Love,Rihanna,barbadian pop
Marry The Night,Lady Gaga,dance pop
1+1,Beyonce,dance pop
Hold It Against Me,Britney Spears,dance pop
I'm Into You,Jennifer Lopez,dance pop
Papi,Jennifer Lopez,dance pop
Cheers (Drink To That),Rihanna,barbadian pop
S&M Remix,Rihanna,barbadian pop
Jar of Hearts,Christina Perri,dance pop
Turning Page,Sleeping At Last,acoustic pop
Super Bass,Nicki Minaj,dance pop
Raise Your Glass,P!nk,dance pop
Invading My Mind,Jennifer Lopez,dance pop
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop
Last Friday Night (T.G.I.F.),Katy Perry,dance pop
Firework,Katy Perry,dance pop
Muny - Album Version (Edited),Nicki Minaj,dance pop
Titanium (feat. Sia),David Guetta,dance pop
Locked Out of Heaven,Bruno Mars,pop
Paradise,Coldplay,permanent wave
Payphone,Maroon 5,pop
What Makes You Beautiful,One Direction,boy band
I Knew You Were Trouble.,Taylor Swift,pop
Call Me Maybe,Carly Rae Jepsen,canadian pop
Love You Like A Love Song,Selena Gomez & The Scene,dance pop
Set Fire to the Rain,Adele,british soul
We Are Never Ever Getting Back Together,Taylor Swift,pop
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop
Try,P!nk,dance pop
Starships,Nicki Minaj,dance pop
One More Night,Maroon 5,pop
Good Time,Owl City,pop
Glad You Came,The Wanted,boy band
Beauty And A Beat,Justin Bieber,canadian pop
International Love,Pitbull,dance pop
Some Nights,fun.,baroque pop
Boyfriend,Justin Bieber,canadian pop
Part Of Me,Katy Perry,dance pop
Domino,Jessie J,australian pop
Where Have You Been,Rihanna,barbadian pop
Wide Awake,Katy Perry,dance pop
The One That Got Away,Katy Perry,dance pop
Dance Again,Jennifer Lopez,dance pop
Turn Up the Music,Chris Brown,dance pop
Lights - Single Version,Ellie Goulding,dance pop
Diamonds,Rihanna,barbadian pop
Don't Stop the Party (feat. TJR),Pitbull,dance pop
You Da One,Rihanna,barbadian pop
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop
It Will Rain,Bruno Mars,pop
Blow Me (One Last Kiss),P!nk,dance pop
Underneath the Tree,Kelly Clarkson,dance pop
Wake Me Up,Avicii,big room
Story of My Life,One Direction,boy band
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop
Hall of Fame,The Script,celtic rock
Roar,Katy Perry,dance pop
We Can't Stop,Miley Cyrus,dance pop
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro
Wrecking Ball,Miley Cyrus,dance pop
Impossible,James Arthur,pop
Blurred Lines,Robin Thicke,dance pop
Heart Attack,Demi Lovato,dance pop
Die Young,Kesha,dance pop
Clarity,Zedd,complextro
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop
Under Control,Calvin Harris,dance pop
Everybody Talks,Neon Trees,indie pop
Best Song Ever,One Direction,boy band
Kiss You,One Direction,boy band
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop
Lose Yourself to Dance,Daft Punk,electro
Work Bitch,Britney Spears,dance pop
Brave,Sara Bareilles,acoustic pop
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop
Beneath Your Beautiful,Labrinth,pop
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop
The Way,Ariana Grande,dance pop
Suit & Tie,Justin Timberlake,dance pop
I Love It (feat. Charli XCX),Icona Pop,candy pop
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop
Daylight,Maroon 5,pop
Love Somebody,Maroon 5,pop
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop
Move,Little Mix,dance pop
Walks Like Rihanna,The Wanted,boy band
Rock N Roll,Avril Lavigne,canadian pop
Heartbreaker,Justin Bieber,canadian pop
Mirrors - Radio Edit,Justin Timberlake,dance pop
Next To Me,Emeli Sande,dance pop
Made In The USA,Demi Lovato,dance pop
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop
TKO,Justin Timberlake,dance pop
Come & Get It,Selena Gomez,dance pop
Live It Up,Jennifer Lopez,dance pop
We Own The Night,The Wanted,boy band
What About Love,Austin Mahone,dance pop
Take Back the Night,Justin Timberlake,dance pop
Applause,Lady Gaga,dance pop
Anything Could Happen,Ellie Goulding,dance pop
Finally Found You,Enrique Iglesias,dance pop
Pom Poms,Jonas Brothers,boy band
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop
Crazy Kids (feat. will.i.am),Kesha,dance pop
People Like Us,Kelly Clarkson,dance pop
Overdose,Ciara,dance pop
Right Now - Dyro Radio Edit,Rihanna,barbadian pop
Give It 2 U,Robin Thicke,dance pop
